date,UX2-UX5_ema_20,UX2-UX5_ema_60,UX5-UX8_ema_20,UX5-UX8_ema_60,CSI BARC-BASPCAAA_ema_20,CSI BARC-BASPCAAA_ema_60,UX2-UX5_signal_20_60,UX2-UX5_signal_20_80,UX2-UX5_signal_20_100,UX2-UX5_signal_30_60,UX2-UX5_signal_30_80,UX2-UX5_signal_30_100,UX2-UX5_signal_40_60,UX2-UX5_signal_40_80,UX2-UX5_signal_40_100,UX5-UX8_signal_20_60,UX5-UX8_signal_20_80,UX5-UX8_signal_20_100,UX5-UX8_signal_30_60,UX5-UX8_signal_30_80,UX5-UX8_signal_30_100,UX5-UX8_signal_40_60,UX5-UX8_signal_40_80,UX5-UX8_signal_40_100,CSI BARC-BASPCAAA_signal_20_60,CSI BARC-BASPCAAA_signal_20_80,CSI BARC-BASPCAAA_signal_20_100,CSI BARC-BASPCAAA_signal_30_60,CSI BARC-BASPCAAA_signal_30_80,CSI BARC-BASPCAAA_signal_30_100,CSI BARC-BASPCAAA_signal_40_60,CSI BARC-BASPCAAA_signal_40_80,CSI BARC-BASPCAAA_signal_40_100,Equi_weighted
2006-02-16,-0.35390437608003295,-0.5491711322447864,-0.13485956001423763,-0.07609535082130697,1.64971125925429,1.5801525301402115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1044.5738349333392
2006-02-17,-0.35809093842945744,-0.5425556517104461,-0.13485956001423763,-0.07916511746704881,1.6644340063865855,1.5889064683423961,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1049.4209400988955
2006-02-20,-0.3934150582527277,-0.5357538196117579,-0.13485956001423763,-0.08223488411279065,1.681906391872194,1.593937242309215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1053.1553852396405
2006-02-21,-0.4025731633920939,-0.5239204952756837,-0.13485956001423763,-0.08530465075853248,1.694656824573843,1.5965172267793581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1057.085156278158
2006-02-22,-0.42429095557973406,-0.5174913663056906,-0.13485956001423763,-0.0883744174042744,1.7217355415216582,1.605451254944557,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1061.3986031873
2006-02-23,-0.443653806445823,-0.5116212920287405,-0.13485956001423763,-0.09144418405001624,1.7362610572108892,1.611104513783535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1061.928773481254
2006-02-24,-0.4590917551093263,-0.5064034482270071,-0.13485956001423763,-0.09451395069575808,1.7475148513151655,1.6188718721883353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1064.9307465053525
2006-02-27,-0.47217476245127815,-0.5009992528609261,-0.13485956001423763,-0.09758371734149991,1.7629453112725753,1.625002760929221,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1068.4001064991205
2006-02-28,-0.4823795081780008,-0.4945701238909329,-0.13485956001423763,-0.10065348398724175,1.7797911968802136,1.6346728089432623,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1056.3038526870682
2006-03-01,-0.4925842539047232,-0.4886068738318091,-0.13485956001423763,-0.10372325063298367,1.7897687875293655,1.6361996586296896,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1064.9633008216479
2006-03-02,-0.50435896051248,-0.4816186901687731,-0.13485956001423763,-0.1067930172787255,1.7920427500494047,1.6412774125868606,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1057.1746806479707
2006-03-03,-0.5150870265328806,-0.4746305065057371,-0.13485956001423763,-0.10986278392446734,1.7839678627333464,1.643046992223438,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1057.5420793604474
2006-03-06,-0.5250301121127642,-0.46624468611009423,-0.13485956001423763,-0.11293255057020918,1.7753476884864627,1.6487041660616117,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1063.2460606370648
2006-03-07,-0.5341882172521305,-0.4573929868035821,-0.13485956001423763,-0.1160023172159511,1.7784221786283527,1.6549955697695322,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1056.0655085856195
2006-03-08,-0.5394214201889111,-0.449566221100982,-0.13485956001423763,-0.11907208386169284,1.7768327252342433,1.6590162739437913,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1045.3702530284236
