date,principal compnent 0,principal compnent 1,principal compnent 2,principal compnent 3
2008-08-06,3.648060540434916,0.24388877830947703,-0.7132074841417222,-0.452500343798778
2008-08-07,3.5081449498705153,-1.4694105327784415,-0.9442052112952855,-0.432079315998573
2008-08-08,3.850118030507042,0.8554044761666377,-0.5230207357088004,-1.3740759364201158
2008-08-11,4.225515123869846,0.4539929440522643,-0.5905514303929896,-1.0113387901666302
2008-08-12,4.108708492369686,-1.2811053834513983,-1.2287459183639788,-0.8962836043778609
2008-08-13,3.838742239453781,-0.8874567197696337,-1.4331463143718481,-0.882210052369444
2008-08-14,3.715746880617243,0.252886788500754,-1.5476965891087735,-0.9880337586654806
2008-08-15,3.826845850498535,0.17310226884246055,-1.2033330776741882,-0.4465135105711559
2008-08-18,3.6062645073685595,-1.6896257864526347,-1.4244859978907727,-0.5165219847546224
2008-08-19,3.105312774223031,-1.4939321733515918,-1.292892093434617,-0.45074677849384787
2008-08-20,2.705162558740539,-0.07746617562658586,-1.128430161548105,-0.5663126238693115
2008-08-21,2.1503040604072203,-0.26446199732895564,-0.9656251987178521,-0.5084042556457811
2008-08-22,1.9276396039342996,0.5763586388835659,-0.7015430039800243,-0.5728647611017753
2008-08-25,1.2834554240351401,-1.321660583944287,-0.5613417122020761,-0.4586002421353054
2008-08-26,1.018586960986089,0.028264250653816894,-1.1231135267134411,-1.0266711577216514
2008-08-27,1.1224294523040814,0.6464147340751709,-0.9185803174288205,-1.0496637812003304
2008-08-28,1.2785901012812786,0.9911325386182174,-0.9596350279657072,-1.066150091684151
