date,MRI CITI Index_ema_20,MRI CITI Index_ema_60,MRIST Index_ema_20,MRIST Index_ema_60,CESIG10 Index_ema_20,CESIG10 Index_ema_60,CESIUSD Index_ema_20,CESIUSD Index_ema_60,MRI CITI Index_signal_20_60,MRI CITI Index_signal_20_80,MRI CITI Index_signal_20_100,MRI CITI Index_signal_30_60,MRI CITI Index_signal_30_80,MRI CITI Index_signal_30_100,MRI CITI Index_signal_40_60,MRI CITI Index_signal_40_80,MRI CITI Index_signal_40_100,MRIST Index_signal_20_60,MRIST Index_signal_20_80,MRIST Index_signal_20_100,MRIST Index_signal_30_60,MRIST Index_signal_30_80,MRIST Index_signal_30_100,MRIST Index_signal_40_60,MRIST Index_signal_40_80,MRIST Index_signal_40_100,CESIG10 Index_signal_20_60,CESIG10 Index_signal_20_80,CESIG10 Index_signal_20_100,CESIG10 Index_signal_30_60,CESIG10 Index_signal_30_80,CESIG10 Index_signal_30_100,CESIG10 Index_signal_40_60,CESIG10 Index_signal_40_80,CESIG10 Index_signal_40_100,CESIUSD Index_signal_20_60,CESIUSD Index_signal_20_80,CESIUSD Index_signal_20_100,CESIUSD Index_signal_30_60,CESIUSD Index_signal_30_80,CESIUSD Index_signal_30_100,CESIUSD Index_signal_40_60,CESIUSD Index_signal_40_80,CESIUSD Index_signal_40_100,Equi_weighted
2003-07-21,-1.1059731055060902,-1.0130530743817892,-0.4147154564228527,0.041234127556238266,-0.07025713394829398,-0.7461695078249282,0.38159021541339855,-0.4615110623841071,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1023.4852868685568
2003-07-22,-1.1340047805101312,-1.0150971433781206,-0.4648653594865044,0.05533798835641452,-0.03535127633612843,-0.724857033966667,0.3734123064829379,-0.42924939646597726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1024.8119333890565
2003-07-23,-1.1586993513470243,-1.0154902335697227,-0.4861094156454119,0.07332041087663951,-0.011130885339931918,-0.7065244196752145,0.35556959608920563,-0.40694738812080034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1024.6576223236677
2003-07-24,-1.1780545555164814,-1.0176915386426952,-0.46277578019218507,0.07120483175661325,0.027871067808355108,-0.6867018756003578,0.3485068565583533,-0.38378761022388586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1037.8126406481065
2003-07-25,-1.195852444407936,-1.0209148782138333,-0.4450143561904756,0.06997074393659734,0.06491401874371446,-0.6647416061840948,0.3419397478717713,-0.3566249077521961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1035.23435993056
2003-07-28,-1.208310966631954,-1.020521788022231,-0.4575518319563886,0.07684637607668328,0.09536759859922622,-0.6434291323258337,0.3289294382096748,-0.33179724461579185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1044.1972609785894
2003-07-29,-1.2134278596882475,-1.0194997535240655,-0.4380490918760803,0.08548499081679169,0.1110396163026475,-0.625420415813382,0.30377617286295494,-0.31254508356568184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1042.690584881802
2003-07-30,-1.2174323846888246,-1.0207576421371924,-0.431432090777404,0.08319311343676265,0.12101271847755195,-0.6048852966247232,0.27837509209409994,-0.29253046069180516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1048.170770912364
2003-07-31,-1.2109806499656726,-1.0200500797923087,-0.38720266238098866,0.08566128907679388,0.14095892282736083,-0.5781961196350468,0.2730470605181938,-0.26288975729287345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1057.9780964015517
2003-08-01,-1.1889557624624973,-1.011244859500419,-0.26844490582053654,0.12938325755734134,0.16553549604408963,-0.5507943675315683,0.2633822590549221,-0.23558409322922733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1056.085642641291
2003-08-04,-1.1664859277370359,-1.0017320768636457,-0.16744857326179394,0.17786527905794847,0.1952767114585368,-0.521060551419283,0.2605323817003676,-0.20784954438971245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1050.6611800510084
2003-08-05,-1.1491329860678674,-0.9943419812615242,-0.09640287725495447,0.20942266759834313,0.23890903347374376,-0.4823871566065723,0.27949026149370815,-0.16648599045036727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1054.4396579438048
2003-08-06,-1.131557570787556,-0.989860753077259,0.031757986129932386,0.25085275869886214,0.2916240021125244,-0.4366527902116412,0.3026610034633467,-0.11535339439401084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1043.0442144066526
