,Value,Quality,Carry,Profitability,Size,Momentum,"Price Earnings Ratio 
(P/E) 
(SX5E Index)","Dividend 12 Month Yld - Gross 
(SX5E Index)","Price to Book Ratio 
(SX5E Index)","Enterprise Value/EBITDA 
(SX5E Index)","Enterprise Value/EBIT 
(SX5E Index)","Trailing 12M Profit Margin 
(SX5E Index)","Return on Assets 
(SX5E Index)","Price to Sales Ratio 
(SX5E Index)","EV To Trailing 12M Sales 
(SX5E Index)","Price/EBITDA 
(SX5E Index)","Enterprise Value/EBITDA 
(SX5E Index).1","Dividend Payout Ratio 
(SX5E Index)","Current Ratio 
(SX5E Index)",Equi_weighted
2011-01-04,0.8843625251825616,0.7890004477854693,0.7748803750000564,0.853369157477837,0.9260679379267736,0.7406835425296079,-0.26693600431549164,0.3188033471038817,-0.9894136237413335,-1.3260298880662378,-1.1121054226627136,0.48211020985013164,0.3828427101978684,-0.6238363558942923,-0.8920428036503447,-0.8871410212819281,-1.3260298880662378,-0.3504106281999912,0.04149273541149215,1610.0856321001072
2011-01-05,0.8807427213525753,0.7527190927298707,0.7532879907508135,0.8440098260015142,0.9230288641206953,0.7089595927205521,-0.26741808767412717,0.33513914128963684,-1.0026102515685742,-1.3368647911529945,-1.1170613248721801,0.48211020985013164,0.3828427101978684,-0.6404243259570603,-0.9009034281821009,-0.9020469650374656,-1.3368647911529945,-0.3504106281999912,0.03947912081758469,1609.005289041477
2011-01-06,0.8807427213525753,0.7276068592843039,0.7532879907508135,0.8440098260015142,0.9230288641206953,0.700238483321477,-0.2673029977833601,0.331228307764025,-0.9994597627234092,-1.3323489273093745,-1.1185106525935353,0.48211020985013164,0.3828427101978684,-0.6364642060117521,-0.9034946696443759,-0.8928948937631369,-1.3323489273093745,-0.3504106281999912,0.03681662711062289,1617.0631238484073
2011-01-07,0.8730763857021283,0.7183078607149191,0.7362948050608654,0.8440098260015142,0.9230288641206953,0.6942617610817794,-0.26859625677552795,0.3755730339874036,-1.034861648600223,-1.3516348436743386,-1.1368988465042105,0.48211020985013164,0.3828427101978684,-0.6809638674130857,-0.9363707907179002,-0.9169643810557788,-1.3516348436743386,-0.3504106281999912,0.0329525046864913,1617.681172868145
2011-01-10,0.8319641269754535,0.7166088865086755,0.6705666259330682,0.8436147078716776,0.9038360074357583,0.6765114901102752,-0.2707857377841091,0.4538307734478902,-1.0947968674423831,-1.3874744327085238,-1.1663505644975474,0.48211020985013164,0.3828427101978684,-0.7563015695026493,-0.9890273032263376,-0.9630490931547486,-1.3874744327085238,-0.3504106281999912,0.030362290436018968,1605.820596773552
2011-01-11,0.8450014362337999,0.726316060740008,0.655613269006842,0.8524290151530619,0.9139783256799282,0.6979565768154775,-0.269134729551161,0.3954173456687641,-1.0496018915015786,-1.351851371570785,-1.1459843649053703,0.48211020985013164,0.3828427101978684,-0.6994921387222112,-0.9526147216028947,-0.9182301095889012,-1.351851371570785,-0.3504106281999912,0.028853804184461377,1626.10519757685
2011-01-12,0.8503201931432706,0.7313083180068537,0.6685582528256123,0.8526077606844233,0.9139783256799282,0.7198775863971553,-0.26532104836105236,0.2660284206621552,-0.9452055473418683,-1.2971722943772426,-1.0890063087256239,0.48211020985013164,0.3828427101978684,-0.5682674421790394,-0.8507440647438586,-0.853307879823156,-1.2971722943772426,-0.3504106281999912,0.030089493141829966,1641.7569161839365
2011-01-13,0.8820546520841763,0.7076338555606396,0.7114289933548337,0.8483733202586003,0.9176922127569775,0.7380702800049409,-0.263633525592211,0.21644406709288705,-0.8990110195551229,-1.285865976050489,-1.0647373284486183,0.48211020985013164,0.3828427101978684,-0.5102015886573024,-0.8073537319199138,-0.8342880317329726,-1.285865976050489,-0.3504106281999912,0.029328045723348326,1631.528453452458
2011-01-14,0.916351030298166,0.6678176435497178,0.7589595969850572,0.838511305842999,0.924777562155347,0.7551819672728445,-0.26341259003776507,0.20934717526056743,-0.8929630936089435,-1.2844485044712832,-1.0594995453864935,0.48211020985013164,0.3828427101978684,-0.5025994349690326,-0.797989134952156,-0.8349399753871946,-1.2844485044712832,-0.3504106281999912,0.03046086408256564,1630.2409894086609
2011-01-17,0.9312957870339676,0.6594325407140761,0.8151333125683667,0.8526203298291126,0.9350557886032308,0.7534900451219767,-0.26386416751605446,0.2238776141732958,-0.9053246523761231,-1.2888260503085487,-1.0660632577446392,0.48211020985013164,0.3828427101978684,-0.5181377342240333,-0.8097243519141385,-0.8410636082260359,-1.2888260503085487,-0.3504106281999912,0.028614022458753195,1632.786092074391
2011-01-18,0.9312957870339676,0.6442312088395592,0.845273033127249,0.8407754314845977,0.9350557886032308,0.7506987376955161,-0.2622469005048431,0.17228426336499067,-0.8610533144536535,-1.2640843507442638,-1.0426743992239986,0.48211020985013164,0.3828427101978684,-0.4624893030561867,-0.7679075772442148,-0.8112508811613514,-1.2640843507442638,-0.3504106281999912,0.026339003405632437,1646.1362822943038
2011-01-19,0.9208526396655711,0.5805125638951576,0.8567845306179537,0.7748410984124896,0.9147794985279072,0.6981732648717778,-0.2632572880123296,0.20437245440656068,-0.8887118288288957,-1.2942439638800067,-1.0553874710673854,0.48211020985013164,0.3828427101978684,-0.49725565780148545,-0.7906371877755554,-0.8452326195176455,-1.2942439638800067,-0.3504106281999912,0.026803034756774386,1626.8524900913317
