date,UX2-UX5,UX5-UX8,CSI BARC-BASPCAAA,SGEPVBE-SGEPLBE,UVOLNYE-DVOLNYE,MRI CITI Index,MRIST Index,CESIG10 Index,CESIUSD Index
2003-01-07,,,-208.36999999999998,-64.37,,0.441,0.215,-7.4,
2003-01-08,,,-208.92999999999998,-75.21999999999991,,0.43,0.231,-6.7,
2003-01-09,,,-220.17,-68.57000000000005,,0.428,0.195,-6.1,
2003-01-10,,,-202.92,-64.15999999999997,,0.414,0.201,-6.8,
2003-01-13,,,-204.28,-59.110000000000014,,0.426,0.284,0.4,
2003-01-14,,,-202.81,-60.289999999999964,,0.402,0.128,-1.4,
2003-01-15,,,-206.39,-58.58999999999992,,0.409,0.21,1.5,
2003-01-16,,,-205.59,-57.370000000000005,,0.39899999999999997,0.185,3.1,
2003-01-17,,,-202.92000000000002,-67.48000000000002,,0.444,0.377,-6.5,
2003-01-20,,,-202.92000000000002,-70.97000000000003,,0.435,0.364,-5.2,
2003-01-21,,,-203.89000000000001,-69.70000000000005,,0.45,0.431,4.0,
2003-01-22,,,-204.35,-74.06000000000006,,0.474,0.533,4.1,
2003-01-23,,,-212.55,-74.36000000000001,,0.461,0.494,7.4,
2003-01-24,,,-207.02,-78.74000000000001,,0.499,0.621,8.0,
2003-01-27,,,-212.55,-83.14999999999998,,0.551,0.78,11.4,
2003-01-28,,,-207.9,-79.25,,0.523,0.747,11.8,
2003-01-29,,,-204.18,-80.33000000000004,,0.494,0.598,11.5,
2003-01-30,,,-195.67999999999998,-75.93000000000006,,0.479,0.508,7.1,-10.7
2003-01-31,,,-199.27,-77.61000000000001,,0.469,0.522,7.2,-7.9
2003-02-03,,,-198.11,-71.66999999999996,,0.44,0.419,8.1,-8.9
2003-02-04,,,-190.91,-79.96000000000004,,0.46399999999999997,0.512,7.9,-9.3
2003-02-05,,,-199.57000000000002,-75.0,,0.46,0.429,8.2,-8.6
2003-02-06,,,-188.70999999999998,-76.13999999999999,,0.465,0.463,2.4,-9.0
2003-02-07,,,-193.74,-78.23000000000002,,0.46299999999999997,0.517,6.9,2.8
2003-02-10,,,-198.3,-82.29999999999995,,0.446,0.363,5.8,0.4
2003-02-11,,,-192.04,-79.91000000000008,,0.441,0.324,4.9,-1.3
2003-02-12,,,-193.53,-84.95000000000005,,0.467,0.451,5.9,-1.8
2003-02-13,,,-192.91,-83.16999999999996,,0.486,0.521,14.7,15.2
2003-02-14,,,-203.36,-78.64999999999998,,0.47600000000000003,0.473,19.4,17.6
2003-02-17,,,-203.36,-75.89999999999998,,0.465,0.435,18.8,17.8
2003-02-18,,,-193.75,-76.13999999999999,,0.452,0.361,19.0,13.4
2003-02-19,,,-192.42,-78.27999999999997,,0.457,0.386,19.8,15.1
2003-02-20,,,-196.39000000000001,-81.77999999999997,,0.45899999999999996,0.379,4.5,-17.0
2003-02-21,,,-202.31,-83.93999999999994,,0.439,0.342,2.1,-21.1
2003-02-24,,,-197.83,-87.35000000000002,,0.45,0.396,-0.2,-24.1
2003-02-25,,,-199.6,-93.90000000000009,,0.483,0.477,-0.5,-45.1
2003-02-26,,,-199.79,-98.34999999999991,,0.48100000000000004,0.493,0.2,-44.8
2003-02-27,,,-201.18,-97.52999999999997,,0.48200000000000004,0.48,1.8,-49.6
2003-02-28,,,-201.34,-95.3900000000001,,0.47,0.47,7.3,-37.5
2003-03-03,,,-205.16,-97.34000000000003,,0.45399999999999996,0.47,6.0,-42.1
2003-03-04,,,-206.60999999999999,-101.5,,0.48700000000000004,0.498,5.3,-41.3
2003-03-05,,,-208.63,-104.38,,0.48,0.452,5.2,-39.0
2003-03-06,,,-213.09,-107.21000000000004,,0.485,0.519,5.4,-39.3
2003-03-07,,,-208.92,-109.20999999999992,,0.47600000000000003,0.489,-6.8,-73.0
2003-03-10,,,-211.04,-113.27999999999997,,0.51,0.638,-6.5,-74.3
2003-03-11,,,-215.47,-115.15999999999997,,0.502,0.584,-6.1,-75.4
2003-03-12,,,-211.63,-115.75,,0.495,0.557,1.5,-64.2
2003-03-13,,,-218.62,-110.7299999999999,,0.47700000000000004,0.48,-5.6,-82.7
2003-03-14,,,-202.56,-103.34000000000003,,0.43200000000000005,0.405,-5.4,-83.9
2003-03-17,,,-213.82,-99.07000000000005,,0.465,0.452,-6.7,-85.6
2003-03-18,,,-205.42000000000002,-96.11000000000001,,0.44299999999999995,0.361,-3.4,-88.1
2003-03-19,,,-200.60999999999999,-98.30000000000007,,0.45799999999999996,0.413,-3.2,-87.6
2003-03-20,,,-197.85999999999999,-104.36000000000001,,0.456,0.365,-5.8,-91.0
2003-03-21,,,-203.0,-94.10000000000002,,0.38,0.261,-2.7,-94.1
2003-03-24,,,-187.99,-99.31000000000006,,0.41,0.335,-1.0,-92.4
2003-03-25,,,-194.88,-98.0,,0.361,0.24,-1.9,-91.3
